# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      16.51
1                      16.29
2                      16.12
4                      16.13
8                      16.24
16                     16.15
32                     16.14
64                     16.24
128                    16.21
256                    20.47
512                    22.87
1024                   25.07
2048                   22.90
4096                   23.31
8192                   24.47
16384                  29.31
32768                  34.66
65536                  47.13
131072                 64.46
262144                 98.74
524288                153.66
1048576               266.48
2097152               482.66
4194304               925.98
