# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       8.55
2                       8.57
4                       8.58
8                       8.57
16                      8.58
32                      8.55
64                      8.59
128                     9.60
256                    11.12
512                    11.33
1024                   11.50
2048                   11.97
4096                   12.69
8192                   18.73
16384                  25.13
32768                  26.74
65536                  38.44
131072                 67.17
262144                104.35
524288                200.28
1048576               405.00
