# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.20
1                       1.81
2                       1.81
4                       1.81
8                       1.81
16                      1.83
32                      1.81
64                      1.82
128                     1.82
256                     1.83
512                     1.85
1024                    1.89
2048                    1.95
4096                    2.05
8192                    2.31
16384                   4.12
32768                   5.36
65536                   7.38
131072                 12.18
262144                 25.16
524288                 46.93
1048576                85.42
2097152               149.33
4194304               285.66
