# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      16.78
1                      16.69
2                      16.63
4                      16.59
8                      16.61
16                     16.64
32                     16.65
64                     16.69
128                    16.65
256                    19.20
512                    22.88
1024                   26.10
2048                   23.11
4096                   24.27
8192                   24.29
16384                  27.51
32768                  33.60
65536                  46.38
131072                 64.66
262144                 92.78
524288                150.31
1048576               261.33
2097152               480.59
4194304               933.49
