# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.06
2                       1.04
4                       1.03
8                       1.05
16                      1.02
32                      1.05
64                      1.04
128                     1.04
256                     1.73
512                     1.41
1024                    1.29
2048                    1.38
4096                    1.56
8192                    1.89
16384                   3.75
32768                   5.15
65536                   9.51
131072                 19.86
262144                 53.68
524288                108.75
1048576               224.80
