# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       4.70
2                       4.69
4                       4.69
8                       4.68
16                      4.68
32                      4.69
64                      4.69
128                     4.87
256                     5.72
512                     5.77
1024                    5.86
2048                    6.04
4096                    6.24
8192                    9.38
16384                  10.43
32768                  13.19
65536                  18.60
131072                 29.42
262144                 56.06
524288                112.43
1048576               220.56
