# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.87
2                       2.81
4                       2.76
8                       2.74
16                      2.74
32                      2.68
64                      2.59
128                     2.65
256                     2.60
512                     2.59
1024                    2.59
2048                    2.66
4096                    2.83
8192                    3.18
16384                   5.98
32768                   8.32
65536                  13.31
131072                 26.50
262144                 61.00
524288                122.71
1048576               254.73
