# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.80
1                       2.94
2                       2.94
4                       2.94
8                       2.94
16                      2.94
32                      2.94
64                      2.95
128                     3.48
256                     3.60
512                     3.64
1024                    3.72
2048                    3.91
4096                    3.95
8192                    7.05
16384                   8.24
32768                  10.69
65536                  13.15
131072                 18.22
262144                 27.76
524288                 42.37
1048576                65.54
2097152               108.03
4194304               196.52
