# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.47
2                       2.48
4                       2.48
8                       2.47
16                      2.73
32                      2.49
64                      2.47
128                     2.51
256                     2.52
512                     2.58
1024                    2.60
2048                    2.71
4096                    2.85
8192                    3.22
16384                   6.06
32768                   8.28
65536                  13.22
131072                 25.16
262144                 60.47
524288                120.45
1048576               216.14
