# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.08
2                       0.15
4                       0.31
8                       0.62
16                      1.24
32                      2.46
64                      4.93
128                     9.92
256                    17.08
512                    33.65
1024                   33.45
2048                   80.88
4096                  160.26
8192                  326.41
16384                 606.73
32768                1123.93
65536                1734.80
131072               2351.83
262144               2980.71
524288               3514.69
1048576              3866.16
2097152              4011.13
4194304              4147.84
