# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.10
2                       0.19
4                       0.38
8                       0.77
16                      1.54
32                      3.09
64                      6.14
128                    12.23
256                    18.83
512                    37.66
1024                   40.92
2048                   95.70
4096                  190.02
8192                  373.20
16384                 694.26
32768                1266.43
65536                1955.29
131072               2761.14
262144               3300.33
524288               3869.26
1048576              4381.30
2097152              4568.45
4194304              4732.30
