# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.21
2                       2.39
4                       5.02
8                       9.33
16                     21.95
32                     46.18
64                     88.23
128                   206.41
256                   410.74
512                   801.01
1024                 1742.65
2048                 3061.85
4096                 5492.91
8192                10249.38
16384               11711.17
32768               12727.59
65536               10895.82
131072              11733.91
262144              11977.81
524288              11598.27
1048576             11850.04
2097152             12260.51
4194304             12771.40
