# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.78
1                       2.94
2                       2.93
4                       2.94
8                       2.94
16                      2.93
32                      2.94
64                      2.94
128                     3.50
256                     3.60
512                     3.62
1024                    3.67
2048                    3.89
4096                    3.95
8192                    7.00
16384                   8.30
32768                   9.70
65536                  12.16
131072                 16.73
262144                 24.30
524288                 37.99
1048576                61.06
2097152               103.25
4194304               186.45
