# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.76
1                       0.79
2                       0.77
4                       0.77
8                       0.76
16                      0.77
32                      0.76
64                      0.77
128                     0.77
256                     0.78
512                     0.83
1024                    0.85
2048                    0.90
4096                    1.03
8192                    1.22
16384                   2.33
32768                   2.91
65536                   4.08
131072                  7.65
262144                 17.70
524288                 34.56
1048576                65.63
2097152                95.11
4194304               178.89
