# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      17.14
2                      17.21
4                      17.11
8                      17.44
16                     17.14
32                     17.17
64                     17.32
128                    17.24
256                    31.44
512                    31.44
1024                   39.67
2048                   35.11
4096                   35.90
8192                   37.61
16384                  41.46
32768                  52.13
65536                  66.68
131072                 91.15
262144                145.88
524288                270.26
1048576               521.94
