# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.76
2                       1.52
4                       3.07
8                       6.14
16                     12.30
32                     24.60
64                     49.09
128                    99.29
256                   197.88
512                   392.75
1024                  772.22
2048                 1509.29
4096                 2889.98
8192                 5360.86
16384                5746.76
32768                8658.92
65536               11723.97
131072              14134.26
262144              10588.16
524288               9249.54
1048576              9602.83
2097152              9621.88
4194304              9683.38
