# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.79
2                       1.58
4                       3.17
8                       6.35
16                     12.70
32                     25.46
64                     50.88
128                    54.86
256                   102.34
512                   287.57
1024                  668.87
2048                 1351.91
4096                 2598.84
8192                 4850.09
16384                5009.10
32768                7647.25
65536                9744.77
131072               8065.88
262144               8668.34
524288               8807.56
1048576              8698.07
2097152              9177.91
4194304              9286.35
