# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.54
1                       2.43
2                       2.34
4                       2.27
8                       2.21
16                      2.17
32                      2.11
64                      2.07
128                     2.04
256                     2.00
512                     2.01
1024                    2.02
2048                    2.04
4096                    2.12
8192                    2.48
16384                   4.37
32768                   5.82
65536                   7.32
131072                 11.99
262144                 24.77
524288                 45.92
1048576                89.90
2097152               189.89
4194304               407.93
