# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.04
1                       1.12
2                       1.13
4                       1.14
8                       1.13
16                      1.13
32                      1.14
64                      1.23
128                     1.19
256                     1.26
512                     1.45
1024                    1.72
2048                    2.04
4096                    2.68
8192                    3.48
16384                   7.32
32768                   9.06
65536                  12.51
131072                 24.10
262144                 72.95
524288                142.87
1048576               281.23
2097152               551.86
4194304              1041.35
