# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.62
1                       0.68
2                       0.65
4                       0.65
8                       0.65
16                      0.66
32                      0.65
64                      0.65
128                     0.97
256                     0.87
512                     0.79
1024                    0.81
2048                    0.87
4096                    0.98
8192                    1.24
16384                   2.36
32768                   3.00
65536                   4.25
131072                  7.78
262144                 18.14
524288                 36.23
1048576                69.82
2097152               149.17
4194304               255.64
