# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.54
8                       6.34
16                     12.29
32                     24.57
64                     49.11
128                   107.84
256                   220.50
512                   433.11
1024                  862.78
2048                 1712.24
4096                 3451.65
8192                 6759.30
16384                7507.60
32768               12609.19
65536               14662.89
131072              16587.22
262144              21826.88
524288              22424.81
1048576             21795.49
2097152             20497.20
4194304             20512.12
