# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.84
2                       2.76
4                       2.68
8                       2.65
16                      2.61
32                      2.55
64                      2.52
128                     2.52
256                     2.52
512                     2.55
1024                    2.57
2048                    2.67
4096                    2.85
8192                    3.15
16384                   5.97
32768                   8.33
65536                  12.65
131072                 25.09
262144                 60.29
524288                120.18
1048576               261.24
