# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.89
2                       1.78
4                       3.56
8                       7.14
16                     14.28
32                     28.61
64                     57.30
128                   114.35
256                   221.89
512                   442.81
1024                  885.92
2048                 1769.07
4096                 3549.94
8192                 6819.22
16384                7858.93
32768               16855.61
65536               20688.79
131072              22381.15
262144              22957.18
524288              23215.40
1048576             23176.93
2097152             23135.60
4194304             22995.73
