# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.84
1                       3.00
2                       3.00
4                       3.00
8                       3.00
16                      3.00
32                      3.00
64                      3.01
128                     3.54
256                     3.62
512                     3.66
1024                    3.73
2048                    3.91
4096                    3.98
8192                    7.20
16384                   8.54
32768                  10.50
65536                  13.02
131072                 17.77
262144                 25.32
524288                 39.49
1048576                63.54
2097152               106.63
4194304               195.00
