# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.96
2                       2.03
4                       4.53
8                       9.72
16                     20.02
32                     42.12
64                     91.20
128                   187.63
256                   389.06
512                   749.96
1024                 1523.22
2048                 3018.69
4096                 5512.79
8192                 9620.74
16384               11105.70
32768               14962.82
65536               19494.00
131072              20659.08
262144              12086.95
524288              11522.31
1048576             11192.41
2097152             11808.83
4194304             12652.26
