# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.35
8                       0.70
16                      1.40
32                      2.88
64                      5.66
128                    10.62
256                    14.56
512                    29.35
1024                   34.49
2048                   82.20
4096                  164.34
8192                  331.31
16384                 582.33
32768                1096.68
65536                1659.96
131072               2446.47
262144               2971.55
524288               3381.61
1048576              3694.14
2097152              3741.86
4194304              3867.03
