# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.03
2                       1.02
4                       0.98
8                       0.97
16                      0.98
32                      0.98
64                      0.99
128                     0.99
256                     1.01
512                     1.05
1024                    1.12
2048                    1.20
4096                    1.37
8192                    1.75
16384                   3.43
32768                   4.79
65536                   7.93
131072                 18.86
262144                 51.63
524288                105.30
1048576               155.50
