# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       3.00
2                       2.89
4                       2.75
8                       2.66
16                      2.63
32                      2.56
64                      2.49
128                     2.47
256                     2.47
512                     2.50
1024                    2.53
2048                    2.63
4096                    2.80
8192                    3.13
16384                   6.01
32768                   8.39
65536                  12.70
131072                 25.33
262144                 61.54
524288                123.26
1048576               256.11
