# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.61
1                       0.65
2                       0.65
4                       0.65
8                       0.63
16                      0.63
32                      0.62
64                      0.62
128                     0.63
256                     0.64
512                     0.68
1024                    0.71
2048                    0.76
4096                    0.87
8192                    1.08
16384                   2.16
32768                   2.75
65536                   3.88
131072                  6.97
262144                 17.77
524288                 34.26
1048576                68.29
2097152               117.49
4194304               193.79
