# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.89
2                       1.77
4                       3.54
8                       7.07
16                     14.17
32                     28.27
64                     56.58
128                   113.53
256                   221.00
512                   442.50
1024                  885.54
2048                 1760.35
4096                 3536.20
8192                 6837.46
16384                7706.21
32768               12693.47
65536               14800.78
131072              18725.91
262144              21961.13
524288              22347.82
1048576             21200.70
2097152             19622.38
4194304             18934.33
