# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.15
2                       2.29
4                       4.56
8                       9.14
16                     18.27
32                     36.56
64                     73.18
128                   146.11
256                   297.64
512                   595.91
1024                 1155.83
2048                 2383.98
4096                 4727.32
8192                 9008.82
16384               17886.30
32768               20733.51
65536               22396.82
131072              23179.24
262144              23626.96
524288              23835.10
1048576             23942.16
2097152             23988.87
4194304             24025.26
