# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.14
2                       0.28
4                       0.55
8                       1.11
16                      2.19
32                      4.30
64                      8.59
128                    16.88
256                    16.68
512                    33.39
1024                   49.84
2048                  103.76
4096                  205.00
8192                  387.20
16384                 687.30
32768                1165.02
65536                1755.01
131072               2318.05
262144               2852.95
524288               3074.22
1048576              3206.31
2097152              3388.96
4194304              3611.54
