# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.11
1                       1.18
2                       1.21
4                       1.20
8                       1.21
16                      1.20
32                      1.17
64                      1.19
128                     1.20
256                     1.26
512                     1.50
1024                    1.69
2048                    2.11
4096                    2.59
8192                    4.04
16384                   7.99
32768                  12.14
65536                  20.87
131072                 38.53
262144                 72.64
524288                142.09
1048576               284.83
2097152               553.58
4194304              1078.57
