# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      17.40
1                      17.39
2                      17.40
4                      17.40
8                      17.38
16                     17.56
32                     17.40
64                     17.64
128                    17.55
256                    21.76
512                    24.56
1024                   29.10
2048                   25.90
4096                   27.02
8192                   28.27
16384                  31.54
32768                  45.55
65536                  56.73
131072                 77.35
262144                122.19
524288                193.49
1048576               315.89
2097152               561.52
4194304              1057.88
