# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       8.45
2                       8.48
4                       8.49
8                       8.47
16                      8.47
32                      8.50
64                      8.47
128                     9.50
256                    10.83
512                    11.08
1024                   11.27
2048                   11.72
4096                   12.34
8192                   18.49
16384                  22.48
32768                  26.22
65536                  38.11
131072                 64.57
262144                116.22
524288                206.01
1048576               397.56
