# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      16.20
1                      15.95
2                      15.93
4                      15.97
8                      15.90
16                     15.92
32                     15.94
64                     16.07
128                    16.03
256                    18.92
512                    21.74
1024                   25.02
2048                   23.05
4096                   23.80
8192                   24.44
16384                  26.42
32768                  32.67
65536                  46.79
131072                 60.98
262144                 91.74
524288                136.32
1048576               225.47
2097152               395.73
4194304               736.37
