# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      42.22
2                      41.39
4                      41.37
8                      41.46
16                     42.39
32                     42.00
64                     42.05
128                    41.63
256                    87.22
512                    84.99
1024                  123.16
2048                  103.87
4096                  108.87
8192                  117.53
16384                 127.35
32768                 129.51
65536                 180.40
131072                244.98
262144                420.79
524288                718.20
1048576              1225.63
