# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      34.16
2                      34.32
4                      34.38
8                      34.09
16                     34.04
32                     34.18
64                     34.75
128                    34.51
256                    65.83
512                    64.00
1024                  100.61
2048                   82.87
4096                   84.63
8192                   87.72
16384                  94.42
32768                 103.57
65536                 173.96
131072                215.13
262144                315.84
524288                562.10
1048576              1046.78
