# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.56
2                       3.35
4                       6.78
8                      13.65
16                     27.38
32                     54.97
64                    109.96
128                   218.71
256                   435.23
512                   838.24
1024                 1644.41
2048                 3239.27
4096                 5920.86
8192                10311.86
16384               12764.25
32768               17388.70
65536               21965.20
131072              25384.76
262144              23809.15
524288              24029.07
1048576             20007.53
2097152             21329.70
4194304             27851.80
