# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.06
1                       2.13
2                       2.13
4                       2.13
8                       2.12
16                      2.12
32                      2.13
64                      2.13
128                     2.67
256                     2.79
512                     2.83
1024                    2.91
2048                    3.06
4096                    3.18
8192                    5.40
16384                   5.77
32768                   6.42
65536                   7.82
131072                 10.51
262144                 15.89
524288                 26.76
1048576                48.49
2097152                92.01
4194304               178.99
