# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.26
2                       4.55
4                       9.05
8                      18.16
16                     36.47
32                     72.83
64                    144.47
128                   288.15
256                   569.84
512                  1062.40
1024                 2060.36
2048                 4039.53
4096                 7219.48
8192                 7862.87
16384                9101.16
32768               10012.16
65536               10880.09
131072              11518.44
262144              11922.51
524288              11969.49
1048576             12145.09
2097152             12119.89
4194304             12263.43
