# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.77
2                       1.56
4                       3.08
8                       6.32
16                     12.64
32                     25.31
64                     50.57
128                   101.14
256                   201.54
512                   401.41
1024                  791.87
2048                 1527.31
4096                 2926.79
8192                 5476.41
16384                5845.87
32768                8727.61
65536               11856.96
131072               9228.50
262144               9031.00
524288               9131.96
1048576              9439.01
2097152              9465.54
4194304              9543.70
