# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.19
1                       1.83
2                       1.84
4                       1.81
8                       1.81
16                      1.81
32                      1.81
64                      1.81
128                     1.82
256                     1.83
512                     1.86
1024                    1.90
2048                    1.94
4096                    2.07
8192                    2.28
16384                   4.16
32768                   5.29
65536                   7.19
131072                 11.82
262144                 24.41
524288                 41.72
1048576                73.82
2097152               141.77
4194304               272.25
