# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      16.43
1                      16.44
2                      16.42
4                      16.41
8                      16.41
16                     16.43
32                     16.46
64                     16.44
128                    16.41
256                    21.60
512                    24.48
1024                   30.88
2048                   27.03
4096                   27.20
8192                   28.56
16384                  31.44
32768                  37.13
65536                  51.98
131072                 71.63
262144                110.53
524288                174.67
1048576               300.55
2097152               559.53
4194304              1061.95
