# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.59
1                       0.66
2                       0.67
4                       0.66
8                       0.66
16                      0.66
32                      0.65
64                      0.66
128                     0.67
256                     0.68
512                     0.71
1024                    0.75
2048                    0.83
4096                    0.93
8192                    1.12
16384                   2.21
32768                   2.80
65536                   3.96
131072                  7.04
262144                 15.42
524288                 24.23
1048576                43.40
2097152                83.64
4194304               161.52
