# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      18.16
1                      18.16
2                      18.17
4                      18.18
8                      18.18
16                     18.23
32                     18.17
64                     18.50
128                    18.21
256                    22.93
512                    25.55
1024                   28.72
2048                   26.79
4096                   27.87
8192                   28.73
16384                  31.74
32768                  46.57
65536                  59.64
131072                 80.78
262144                118.17
524288                184.75
1048576               317.00
2097152               550.23
4194304              1011.50
