# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.45
8                       0.90
16                      1.80
32                      3.65
64                      7.20
128                    14.23
256                    17.38
512                    33.68
1024                   46.22
2048                  100.08
4096                  196.80
8192                  385.16
16384                 710.96
32768                1252.40
65536                1899.20
131072               2490.35
262144               3033.52
524288               3482.88
1048576              3798.67
2097152              3893.12
4194304              3926.87
