# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.47
2                       1.17
4                       1.13
8                       1.13
16                      1.11
32                      1.11
64                      1.11
128                     1.10
256                     1.10
512                     1.15
1024                    1.22
2048                    1.31
4096                    1.49
8192                    1.81
16384                   3.62
32768                   5.00
65536                   8.29
131072                 18.98
262144                 52.69
524288                107.30
1048576               223.63
